Lake,GPP,TN_load,TP_load,SA,DOC_mgL,z_m,zmix
Acton,0.71925,89.23557000000001,1.51097,2.5,4.3,3.9,1.4708924490204898
EastLong,0.21562499999999998,1.41285,0.05131,0.03,10.6,4.04,3.507018267009813
Feeagh,0.0011250000000000001,0.61431499999999994,0.012459999999999999,3.92,5.6,14.5,1.9405823387876682
Harp,0.06637499999999999,0.12944,0.0047,0.71,5.2,13.3,1.739906865417652
Langtjern,0.035250000000000004,0.090645,0.00228,0.23,11.8,2,3.9179109299428188
Lillinonah,0.931875,20.47771,1.13255,6.26,11.8,13,4.15717405011676
Lillsjoliden,0.0080625,0.620295,0.023540000000000002,0.01,15.5,3.8,5.126305264729904
Mangstrettjarn,0.049125,0.23528,0.0028799999999999997,0.02,11.9,5.3,3.9364029898118584
Mendota,0.46106250000000004,0.9497800000000001,0.014955,39.6,4.7,12.8,1.8067063884609278
Morris,0.4835625,49.067355,0.9491449999999999,0.06,17.3,2.42,5.726845531676113
Ovre,0.015375,4.8463899999999995,0.216335,0.05,23.2,4,7.678537918433663
Struptjarn,0.135,0.17143,0.006,0.03,19.9,3.8,6.583930520141064
Trout,0.033375,0.01821,0.00413,15.7,2.8,14.6,1.0267675242864271
Vortsjarv,0.166875,2.81195,0.10329,270,11.9,2.8,5.089428397987373
