Lake,DateTime,GPP,GPP_sd,R,R_sd,NEP,metab_flag,DOC_load,TN_load,TP_load
Acton,2010-04-23,NA,NA,NA,NA,NA,NA,NA,107628.78,1243.65
Acton,2010-04-24,0.011,2.071,-2.688,4.704,-2.677,1,NA,106397.55,1240.84
Acton,2010-04-25,1.733,3.034,-0.001,1.895,1.733,1,NA,112753.6,1382.84
Acton,2010-04-26,NA,NA,NA,NA,NA,NA,NA,114738.05,1431.22
Acton,2010-04-27,NA,NA,NA,NA,NA,NA,NA,108543.25,1319.32
Acton,2010-04-28,NA,NA,NA,NA,NA,NA,NA,98808.57,1203.93
Acton,2010-04-29,NA,NA,NA,NA,NA,NA,NA,90398.11,1241.08
Acton,2010-04-30,0.005,2.064,-0.038,1.816,-0.034,1,NA,85836.97,1383.75
Acton,2010-05-01,0.425,1.523,-0.149,0.754,0.276,1,NA,105138.6,2100.64
Acton,2010-05-02,0.001,1.23,-0.738,0.033,-0.736,1,NA,357401.38,8835.68
Acton,2010-05-03,8.653,3.403,-6.854,4.392,1.799,0,512.3,877537.76,26238.4
Acton,2010-05-04,5.439,3.256,-3.155,3.029,2.283,0,203.8,504189.24,7858.2
Acton,2010-05-05,5.905,3.422,-0.155,2.587,5.75,1,105.03,300175.22,3331.61
Acton,2010-05-06,16.942,4.953,-13.664,6.719,3.277,0,79.88,234171.7,2250.31
Acton,2010-05-07,3.57,5.827,-1.189,4.177,2.381,0,67.85,197850.71,1862.34
Acton,2010-05-08,0.922,3.482,-0.253,1.282,0.669,1,59.93,174688.31,1629.71
Acton,2010-05-09,NA,NA,NA,NA,NA,NA,55.59,157580.37,1391.66
Acton,2010-05-10,NA,NA,NA,NA,NA,NA,59.85,163795.7,1508.98
Acton,2010-05-11,NA,NA,NA,NA,NA,NA,104.28,275180.66,3137.43
Acton,2010-05-12,NA,NA,NA,NA,NA,NA,141.18,386559.8,4556.75
Acton,2010-05-13,3.296,3.152,-0.302,4.004,2.994,1,127.01,395904.82,4431.31
Acton,2010-05-14,5.86,2.149,-0.945,1.526,4.915,0,87.17,287235.8,3135.85
Acton,2010-05-15,5.642,5.618,-0.003,6.116,5.638,1,63.53,221500.07,2333.32
Acton,2010-05-16,0.003,2.707,-1.349,4.284,-1.346,1,54.23,194553.11,1982.11
Acton,2010-05-17,2.003,2.403,-2.755,0.638,-0.753,0,68.5,217517.02,2289.88
Acton,2010-05-18,3.945,1.616,-3.943,0.792,0.002,0,95.54,273449.19,2905.95
Acton,2010-05-19,1.918,2.276,-2.011,1.605,-0.094,0,89.22,234009.95,2464.5
Acton,2010-05-20,0.034,2.15,-0.924,4.327,-0.891,1,84.11,209572.02,2214.22
Acton,2010-05-21,0.869,2.192,-0.297,2.555,0.572,1,127.35,314078.18,4789.5
Acton,2010-05-22,13.972,3.622,-12.308,5.351,1.664,0,318.44,871801.6,23397.21
Acton,2010-05-23,0.122,2.64,-0.339,5.6,-0.217,1,183.05,474924.19,7250.05
Acton,2010-05-24,0.52,2.988,-2.347,4.159,-1.827,1,132.69,274936.36,3195.5
Acton,2010-05-25,0.002,1,-2.347,4.467,-2.345,1,105.14,220956.32,2450.91
Acton,2010-05-26,7.602,5.412,-3.894,7.455,3.709,0,90.43,195279.4,2142.3
Acton,2010-05-27,0.012,2.689,-5.355,5.103,-5.342,1,78.73,200013.88,5325.81
Acton,2010-05-28,8.316,4.946,-5.069,6.012,3.248,0,88.1,222308.53,5364.71
Acton,2010-05-29,4.162,4.657,-0.125,5.967,4.037,1,76.86,179229.15,3117.59
Acton,2010-05-30,3.466,5.099,-0.002,7.13,3.464,1,69.98,150143.8,2173.1
Acton,2010-05-31,1.18,3.206,-3.763,5.015,-2.583,0,69.99,137312.67,1963.38
Acton,2010-06-01,12.331,4.102,-16.1,7.098,-3.769,0,76.44,139053.92,1977.99
Acton,2010-06-02,0,2.626,-0.34,4.65,-0.34,1,85.89,168441.11,4289.42
Acton,2010-06-03,7.451,2.819,-6.877,3.818,0.574,0,120.52,419779.98,8280.82
Acton,2010-06-04,0,0.357,-8.599,12.667,-8.599,1,143.53,389500.39,7496.51
Acton,2010-06-05,0.351,4.36,-7.236,8.742,-6.886,1,138.77,346191.28,8875.13
Acton,2010-06-06,3.497,2.189,-2.67,1.866,0.827,0,198.36,441933.76,11639.31
Acton,2010-06-07,13.924,5.802,-8.944,4.413,4.98,0,116.06,294527.18,7176.7
Acton,2010-06-08,0.041,1.216,-5.838,6.104,-5.797,1,132.98,284956.78,11589.14
Acton,2010-06-09,0.001,1.738,-0.01,2.652,-0.009,1,503.28,933131.97,46400.88
Acton,2010-06-10,9.142,5.196,-4.032,4.762,5.11,0,326.31,812016.28,19312.87
Acton,2010-06-11,8.853,6.415,-2.251,6.309,6.602,0,147.01,472194.29,7054.45
Acton,2010-06-12,9.639,4.535,-0.009,3.094,9.63,1,187.89,534158.75,10281.44
Acton,2010-06-13,3.581,3.575,-0.088,2.947,3.493,1,271.75,656605.5,14168.8
Acton,2010-06-14,5.628,5.942,-1.509,5.025,4.119,0,183.8,453974.83,9945.97
Acton,2010-06-15,1.34,2.648,-10.817,6.442,-9.477,0,226.78,568506.01,12255.38
Acton,2010-06-16,6.015,5.514,-0.213,2.432,5.803,1,226.95,491763.67,10326
Acton,2010-06-17,0,0.122,-10.423,9.292,-10.423,1,115.25,341758.64,5390.65
Acton,2010-06-18,10.149,10.101,-1.575,9.878,8.574,1,79.58,263256.3,3355.08
Acton,2010-06-19,0.001,1.27,-2.407,16.817,-2.406,1,68.25,230622.68,2795.84
Acton,2010-06-20,0.014,0.681,-5.786,6.866,-5.772,1,59.7,202584.02,2482.11
Acton,2010-06-21,NA,NA,NA,NA,NA,NA,108.7,254550.47,9027.44
Acton,2010-06-22,NA,NA,NA,NA,NA,NA,296.43,507225.49,20948.76
Acton,2010-06-23,NA,NA,NA,NA,NA,NA,177.92,410614.77,9472.43
Acton,2010-06-24,4.153,4.208,-1.116,4.313,3.038,0,83.33,253731.12,4047.81
Acton,2010-06-25,0,0.021,-5.965,16.959,-5.965,1,59.58,203853.41,2836.11
Acton,2010-06-26,0,0,-1.117,27.979,-1.116,1,50.66,180447.81,2353.58
Acton,2010-06-27,0,1.34,-13.906,14.128,-13.906,1,50.12,170660.46,2305.58
Acton,2010-06-28,11.084,4.811,-8.894,6.179,2.19,0,79.45,207445.75,3940.61
Acton,2010-06-29,9.245,5.58,-6.996,3.034,2.249,0,62.41,189844.42,2821.64
Acton,2010-06-30,13.702,3.273,-10.328,4.318,3.374,0,46.68,156747.46,1888.49
Acton,2010-07-01,13.344,4.466,-9.976,5.642,3.368,0,39.74,135156.12,1546.25
Acton,2010-07-02,1.095,4.941,-1.068,9.498,0.027,1,36.95,121389.12,1361.07
