Lake,Site,Datetime,TP,TN,DOC
Acton,4M,2010-04-06 12:08,171.9275927,6299.55922,NA
Acton,4M,2010-04-06 19:08,174.445148,7252.969718,NA
Acton,4M,2010-04-07 02:08,166.6801169,6948.014848,NA
Acton,4M,2010-04-07 09:08,167.814392,6869.339097,NA
Acton,4M,2010-04-07 16:27,122.49371,6860.366002,NA
Acton,4M,2010-04-07 23:27,124.92443,7051.425266,NA
Acton,4M,2010-04-08 06:27,298.1057931,6026.028722,NA
Acton,4M,2010-04-08 13:27,392.6807857,7107.257967,NA
Acton,4M,2010-04-08 20:27,426.581912,6391.653254,NA
Acton,4M,2010-04-09 03:27,290.162396,6948.489055,NA
Acton,4M,2010-04-09 10:19,207.6758835,7480.780212,NA
Acton,4M,2010-04-10 14:19,106.853276,7262.337911,NA
Acton,4M,2010-04-12 01:19,84.614168,6648.754442,NA
Acton,4M,2010-04-13 12:19,81.79559673,5887.59587,NA
Acton,4M,2010-04-14 16:42,78.233792,5800.228657,NA
Acton,4M,2010-04-16 03:42,78.983,5626.302013,NA
Acton,4M,2010-04-17 14:42,76.564844,5628.843686,NA
Acton,4M,2010-04-19 01:42,75.672464,5511.517503,NA
Acton,4M,2010-04-20 05:42,91.193672,5368.127366,NA
Acton,4M,2010-04-20 12:11,77.98454545,5332.24177,NA
Acton,4M,2010-04-21 16:11,76.494704,5119.350351,NA
Acton,4M,2010-04-23 03:11,79.407884,5080.674501,NA
Acton,4M,2010-04-23 17:11,NA,NA,2.36
Acton,4M,2010-04-24 14:11,76.928072,4877.864153,NA
Acton,4M,2010-04-26 01:11,76.282772,4756.625213,NA
Acton,4M,2010-04-27 05:11,77.621108,4934.348176,2.41
Acton,4M,2010-04-27 12:02,NA,NA,2.5
Acton,4M,2010-04-27 12:28,78.647312,4963.232014,NA
Acton,4M,2010-04-28 16:28,77.260106,4772.942557,NA
Acton,4M,2010-04-30 03:28,84.64028,4503.275403,NA
Acton,4M,2010-05-01 14:28,NA,NA,NA
Acton,4M,2010-05-02 11:28,123.23036,4507.467732,3.14
Acton,4M,2010-05-02 18:28,287.50475,9697.336773,6.14
Acton,4M,2010-05-03 00:35,NA,NA,6.37
Acton,4M,2010-05-03 01:28,363.47978,12438.00364,NA
Acton,4M,2010-05-03 07:35,470.68382,10289.61468,8.3
Acton,4M,2010-05-03 14:35,371.801,10569.4212,7.51
Acton,4M,2010-05-03 21:35,253.1722057,10863.0481,6.03
Acton,4M,2010-05-04 04:35,210.052748,11074.86564,NA
Acton,4M,2010-05-04 05:28,NA,NA,4.93
Acton,4M,2010-05-05 13:04,NA,NA,3.1
Acton,4M,2010-05-05 13:14,112.36124,9033.133888,NA
Acton,4M,2010-05-06 17:14,102.26636,8382.849565,NA
Acton,4M,2010-05-08 04:14,92.314808,7436.416343,NA
Acton,4M,2010-05-08 18:14,NA,NA,2.38
Acton,4M,2010-05-09 15:14,80.996744,6991.079273,NA
Acton,4M,2010-05-11 02:14,NA,NA,NA
Acton,4M,2010-05-12 06:14,NA,NA,3.7
Acton,4M,2010-05-12 16:55,105.7274075,9192.655027,NA
Acton,4M,2010-05-13 09:44,124.770314,11504.74455,NA
Acton,4M,2010-05-14 13:44,93.94692154,9264.703852,NA
Acton,4M,2010-05-16 00:44,85.51029385,7908.128468,NA
Acton,4M,2010-05-16 14:44,NA,NA,2.22
Acton,4M,2010-05-17 11:44,81.99241538,7437.72996,NA
Acton,4M,2010-05-18 22:44,92.6273,7758.40806,NA
Acton,4M,2010-05-20 02:44,92.72886056,7823.243645,2.39
Acton,4M,2010-05-20 13:58,89.212835,7373.510777,3.57
Acton,4M,2010-05-21 17:58,94.34088,6675.342212,2.36
Acton,4M,2010-05-22 00:58,118.7587757,6735.079036,2.32
Acton,4M,2010-05-22 07:58,328.51523,10089.07543,3.87
