Lake,datetime,TP,TN,DOC,Comment
Acton,2010-04-26 00:00,58,3564,3.5,NA
Acton,2010-05-03 00:00,80,3740,3.6,NA
Acton,2010-05-10 00:00,106,5541,4.2,NA
Acton,2010-05-17 00:00,80,5011,4.1,NA
Acton,2010-05-24 00:00,81,4537,4.2,NA
Acton,2010-06-01 00:00,77,4672,4.4,NA
Acton,2010-06-07 00:00,109,5509,3.9,NA
Acton,2010-06-14 00:00,84,6485,4.2,NA
Acton,2010-06-21 00:00,41,7701,NA,NA
Acton,2010-06-28 00:00,63,6353,4.6,NA
Acton,2010-07-06 00:00,68,6330,4.3,NA
Acton,2010-07-12 00:00,69,5460,4.1,NA
Acton,2010-07-19 00:00,88,4460,4.1,NA
Acton,2010-07-26 00:00,117,3397,4.3,NA
Acton,2010-08-02 00:00,97,2645,4.4,NA
Acton,2010-08-09 00:00,99,2168,4.5,NA
Acton,2010-08-16 00:00,104,1899,5,NA
Acton,2010-08-25 00:00,121,1270,4.9,NA
Acton,2010-09-01 00:00,104,1433,5,NA
Acton,2010-09-08 00:00,144,1241,4.9,NA
Acton,2010-09-15 00:00,136,1602,4.9,NA
Acton,2010-09-22 00:00,134,1392,5,NA
Acton,2010-09-29 00:00,145,1536,5,NA
Acton,2010-10-04 00:00,153,1657,NA,NA
Acton,2010-10-13 00:00,121,1382,5.3,NA
Crampton,2013-05-14 08:50,12.76,439,4.9,NA
Crampton,2013-05-21 09:41,14.31,570.9,4.8,NA
Crampton,2013-05-27 12:04,10.12,398.9,NA,NA
Crampton,2013-06-04 10:00,8.32,359.6,4.3,NA
Crampton,2013-06-19 14:15,12.03,296.9,4.7,NA
Crampton,2013-07-04 09:50,8.89,437,NA,NA
Crampton,2013-07-23 12:30,13.56,589.7,4,NA
Crampton,2013-08-02 15:15,9.77,405.8,5.6,NA
Crampton,2013-09-14 10:15,11.14,303.8,3.6,NA
EastLong,2013-05-15 09:30,26.87,453.3,9.7,NA
EastLong,2013-05-22 11:26,19.42,548.2,11.4,NA
EastLong,2013-05-29 10:15,15.39,512.5,10.4,NA
EastLong,2013-06-05 10:45,15.2,499.3,10.8,NA
EastLong,2013-06-12 10:05,14.92,594,11.8,NA
EastLong,2013-06-19 09:00,17.5,552.1,11.6,NA
EastLong,2013-06-26 09:30,14.77,468.1,11.1,NA
EastLong,2013-07-03 09:25,12.6,382.9,10.3,NA
EastLong,2013-07-10 09:25,22.33,626.5,12.9,NA
EastLong,2013-07-17 10:10,19.45,477.4,9.8,NA
EastLong,2013-07-25 12:30,18.14,585.5,11,NA
EastLong,2013-07-31 09:25,15.84,367,10.3,NA
EastLong,2013-08-06 15:00,23.01,571,12.2,NA
EastLong,2013-08-14 09:53,17.23,452.9,5.5,NA
EastLong,2013-09-14 09:12,18.44,567.2,10,NA
Feeagh,2013-01-16 00:00,9,381,6.3,DOC_modelled_from_Abs
Feeagh,2013-02-19 00:00,NA,NA,5.2,DOC_modelled_from_Abs
Feeagh,2013-03-20 00:00,7,365,4.8,DOC_modelled_from_Abs
Feeagh,2013-04-22 00:00,8,376,5.4,DOC_modelled_from_Abs
Feeagh,2013-05-27 00:00,6,332,4.9,DOC_modelled_from_Abs
Feeagh,2013-06-24 00:00,5,361,4.6,DOC_modelled_from_Abs
Feeagh,2013-07-23 00:00,7,333,5.8,DOC_modelled_from_Abs
Feeagh,2013-08-15 00:00,7,378,6.1,DOC_modelled_from_Abs
Feeagh,2013-09-13 00:00,6,528,5.4,DOC_modelled_from_Abs
Feeagh,2013-10-14 00:00,7,601,5.9,DOC_modelled_from_Abs
Feeagh,2013-11-06 00:00,NA,NA,6.2,DOC_modelled_from_Abs
Feeagh,2013-11-21 00:00,7,360,6.1,DOC_modelled_from_Abs
